CPU,Cores,Clock,Process,L3 Cache,TDP
Core 2 Quad Q9550S,4 ,2.833 GHz,45 nm,N/A,65 W
Core 2 Solo ULV SU3500,1 ,1400 MHz,45 nm,N/A,5 W
Core i5-750,4 ,2.666 to 3.2 GHz,45 nm,8MB,95 W
Core i7-860,4  / 8,2.8 to 3.466 GHz,45 nm,8MB,95 W
Core i7-870,4  / 8,2.933 to 3.6 GHz,45 nm,8MB,95 W
Core i7-950,4  / 8,3.066 to 3.333 GHz,45 nm,8MB,130 W
Core i7-960,4  / 8,3.2 to 3.466 GHz,45 nm,8MB,130 W
Core i7-975,4  / 8,3.333 to 3.6 GHz,45 nm,8MB,130 W
Pentium Dual-Core E2210,2 ,2.2 GHz,45 nm,N/A,65 W
Pentium Dual-Core T4200,2 ,2000 MHz,45 nm,N/A,35 W
Pentium Dual-Core T4300,2 ,2.1 GHz,45 nm,N/A,35 W
Pentium Dual-Core T4400,2 ,2.2 GHz,45 nm,N/A,35 W
Pentium E5400,2 ,2.7 GHz,45 nm,N/A,65 W
Pentium E6300,2 ,2.8 GHz,45 nm,N/A,65 W
Pentium E6500,2 ,2.933 GHz,45 nm,N/A,65 W
Pentium E6500K,2 ,2.933 GHz,45 nm,N/A,65 W
Pentium SU2700,1 ,1300 MHz,45 nm,N/A,10 W
Pentium SU4100,2 ,1300 MHz,45 nm,N/A,10 W
Xeon E5502,2 ,1866 MHz,45 nm,4MB,80 W
Xeon E5504,4 ,2000 MHz,45 nm,4MB,80 W
Xeon E5506,4 ,2.133 GHz,45 nm,4MB,80 W
Xeon E5520,4  / 8,2.266 to 2.533 GHz,45 nm,8MB,80 W
Xeon E5530,4  / 8,2.4 to 2.666 GHz,45 nm,8MB,80 W
Xeon E5540,4  / 8,2.533 to 2.8 GHz,45 nm,8MB,80 W
Xeon L5506,4 ,2.133 GHz,45 nm,4MB,60 W
Xeon L5508,2  / 4,2 to 2.4 GHz,45 nm,8MB,38 W
Xeon L5518,4  / 8,2.133 to 2.4 GHz,45 nm,8MB,60 W
Xeon L5520,4  / 8,2.266 to 2.533 GHz,45 nm,8MB,60 W
Xeon L5530,4  / 8,2.4 to 2.666 GHz,45 nm,8MB,60 W
Xeon W3503,2 ,2.4 GHz,45 nm,4MB,130 W
Xeon W3505,2 ,2.533 GHz,45 nm,4MB,130 W
Xeon W3520,4  / 8,2.666 to 2.933 GHz,45 nm,8MB,130 W
Xeon W3540,4  / 8,2.933 to 3.2 GHz,45 nm,8MB,130 W
Xeon W3550,4  / 8,3.066 to 3.333 GHz,45 nm,8MB,130 W
Xeon W3565,4  / 8,3.2 to 3.466 GHz,45 nm,8MB,130 W
Xeon W3570,4  / 8,3.2 to 3.466 GHz,45 nm,8MB,130 W
Xeon W3580,4  / 8,3.333 to 3.6 GHz,45 nm,8MB,130 W
Xeon W5580,4  / 8,3.2 to 3.466 GHz,45 nm,8MB,130 W
Xeon W5590,4  / 8,3.333 to 3.6 GHz,45 nm,8MB,130 W
Xeon X5550,4  / 8,2.666 to 3.066 GHz,45 nm,8MB,95 W
Xeon X5560,4  / 8,2.8 to 3.2 GHz,45 nm,8MB,95 W
Xeon X5570,4  / 8,2.933 to 3.333 GHz,45 nm,8MB,95 W
A10-5745M,4 ,2.1 to 2.9 GHz,32 nm,N/A,25 W
A10-5750M,4 ,2.5 to 3.5 GHz,32 nm,N/A,35 W
A10-5757M,4 ,2.5 to 3.5 GHz,32 nm,N/A,35 W
A10-6700,4 ,3.7 to 4.3 GHz,32 nm,N/A,65 W
A10-6700T,4 ,2.5 to 3.5 GHz,32 nm,N/A,45 W
A10-6790B,4 ,4 to 4.3 GHz,32 nm,N/A,100 W
A10-6790K,4 ,4 to 4.3 GHz,32 nm,N/A,100 W
A10-6800K,4 ,4.1 to 4.4 GHz,32 nm,N/A,100 W
A4-1200,2 ,1000 MHz,28 nm,N/A,4 W
A4-1250,2 ,1000 MHz,28 nm,N/A,8 W
A4-1350,4 ,1000 MHz,28 nm,N/A,8 W
A4-4000,2 ,3 to 3.2 GHz,32 nm,N/A,65 W
A4-5000,4 ,1500 MHz,28 nm,N/A,15 W
A4-5145M,2 ,2 to 2.6 GHz,32 nm,N/A,17 W
A4-5150M,2 ,2.7 to 3.3 GHz,32 nm,N/A,35 W
A4-6300,2 ,3.7 to 3.9 GHz,32 nm,N/A,65 W
A4-6300B,2 ,3.7 to 3.9 GHz,32 nm,N/A,65 W
A4-6320,2 ,3.8 to 4 GHz,32 nm,N/A,65 W
A6-1450,4 ,1000 to 1400 MHz,28 nm,N/A,8 W
A6-5200,4 ,2000 MHz,28 nm,N/A,25 W
A6-5345M,2 ,2.2 to 2.8 GHz,32 nm,N/A,17 W
A6-5350M,2 ,2.9 to 3.5 GHz,32 nm,N/A,35 W
A6-5357M,2 ,2.9 to 3.5 GHz,32 nm,N/A,35 W
A6-6400B,2 ,3.9 to 4.1 GHz,32 nm,N/A,65 W
A6-6400K,2 ,3.9 to 4.1 GHz,32 nm,N/A,65 W
A8-5545M,4 ,1.7 to 2.7 GHz,32 nm,N/A,25 W
A8-5550M,4 ,2.1 to 3.1 GHz,32 nm,N/A,35 W
A8-5557M,4 ,2.1 to 3.1 GHz,32 nm,N/A,35 W
A8-6500,4 ,3.5 to 4.1 GHz,32 nm,N/A,65 W
A8-6500B,4 ,3.5 to 4.1 GHz,32 nm,N/A,65 W
A8-6500T,4 ,2.1 to 3.1 GHz,32 nm,N/A,45 W
A8-6600K,4 ,3.9 to 4.2 GHz,32 nm,N/A,100 W
Athlon II X2 280,2 ,3.6 GHz,45 nm,N/A,65 W
Athlon X4 750,4 ,3.4 to 4 GHz,32 nm,N/A,65 W
Athlon X4 760K,4 ,3.8 to 4.1 GHz,32 nm,N/A,100 W
E1-1500,2 ,1480 MHz,40 nm,N/A,18 W
E1-2100,2 ,1000 MHz,28 nm,N/A,9 W
E1-2500,2 ,1400 MHz,28 nm,N/A,15 W
E2-2000,2 ,1750 MHz,40 nm,N/A,18 W
E2-3000,2 ,1650 MHz,28 nm,N/A,15 W
E2-3800,4 ,1300 MHz,28 nm,N/A,15 W
FX-4130,4 ,3.8 to 4 GHz,32 nm,8MB,125 W
FX-4350,4 ,4.2 to 4.3 GHz,32 nm,8MB,125 W
FX-6350,6 ,3.9 to 4.2 GHz,32 nm,8MB,125 W
FX-9370,8 ,4.4 to 4.7 GHz,32 nm,8MB,220 W
FX-9590,8 ,4.7 to 5 GHz,32 nm,8MB,220 W
Opteron X1150,4 ,2000 MHz,28 nm,N/A,17 W
Opteron X2150,4 ,1900 MHz,28 nm,N/A,22 W
Atom D2500,2  / 4,1867 MHz,32 nm,N/A,10 W
Atom D2550,2  / 4,1867 MHz,32 nm,N/A,10 W
Atom D2700,2  / 4,2.133 GHz,32 nm,N/A,10 W
Atom N2600,2  / 4,1600 MHz,32 nm,N/A,4 W
Atom N2800,2  / 4,1867 MHz,32 nm,N/A,7 W
Atom N570,2  / 4,1667 MHz,45 nm,N/A,9 W
Atom Z650,1 ,1200 MHz,45 nm,N/A,3 W
Atom Z670,1 ,1500 MHz,45 nm,N/A,3 W
Celeron 725C,1 ,1300 MHz,32 nm,1.5MB,17 W
Celeron 787,1 ,1300 MHz,32 nm,1.5MB,17 W
Celeron 847,2 ,1100 MHz,32 nm,2MB,17 W
Celeron 857,2 ,1200 MHz,32 nm,2MB,17 W
Celeron B710,1 ,1600 MHz,32 nm,1.5MB,35 W
Celeron B800,2 ,1500 MHz,32 nm,2MB,35 W
Celeron B810,2 ,1600 MHz,32 nm,2MB,35 W
Celeron B840,2 ,1900 MHz,32 nm,2MB,35 W
Celeron G440,1 ,1600 MHz,32 nm,1MB,35 W
Celeron G460,1 ,1800 MHz,32 nm,1.5MB,35 W
Celeron G530,2 ,2.4 GHz,32 nm,2MB,65 W
Celeron G530T,2 ,2000 MHz,32 nm,2MB,35 W
Celeron G540,2 ,2.5 GHz,32 nm,2MB,65 W
Celeron G540T,2 ,2.1 GHz,32 nm,2MB,35 W
Celeron G550T,2 ,2.2 GHz,32 nm,2MB,35 W
Core i3-2100,2  / 4,3.1 GHz,32 nm,3MB,65 W
Core i3-2100T,2  / 4,2.5 GHz,32 nm,3MB,35 W
Core i3-2102,2  / 4,3.1 GHz,32 nm,3MB,65 W
Core i3-2105,2  / 4,3.1 GHz,32 nm,3MB,65 W
Core i3-2120,2  / 4,3.3 GHz,32 nm,3MB,65 W
Core i3-2120T,2  / 4,2.6 GHz,32 nm,3MB,35 W
Core i3-2125,2  / 4,3.3 GHz,32 nm,3MB,65 W
Core i3-2130,2  / 4,3.4 GHz,32 nm,3MB,65 W
Core i3-2312M,2  / 4,2.1 GHz,32 nm,3MB,35 W
Core i3-2312M,2  / 4,2.1 GHz,32 nm,3MB,35 W
Core i3-2330E,2  / 4,2.2 GHz,32 nm,3MB,35 W
Core i3-2330M,2  / 4,2.2 GHz,32 nm,3MB,35 W
Core i3-2330M,2  / 4,2.2 GHz,32 nm,3MB,35 W
Core i3-2332M,2  / 4,2.2 GHz,32 nm,3MB,35 W
Core i3-2340UE,2  / 4,1300 MHz,32 nm,3MB,17 W
Core i3-2350M,2  / 4,2.3 GHz,32 nm,3MB,35 W
Core i3-2357M,2  / 4,1300 MHz,32 nm,3MB,17 W
Core i3-2367M,2  / 4,1400 MHz,32 nm,3MB,17 W
Core i5-2310,4 ,2.9 to 3.2 GHz,32 nm,6MB,95 W
Core i5-2320,4 ,3 to 3.3 GHz,32 nm,6MB,95 W
Core i5-2390T,2  / 4,2.7 to 3.5 GHz,32 nm,3MB,35 W
Core i5-2405S,4 ,2.5 to 3.3 GHz,32 nm,6MB,65 W
Core i5-2415M,2  / 4,2.3 GHz,32 nm,3MB,35 W
Core i5-2430M,2  / 4,2.4 GHz,32 nm,3MB,35 W
Core i5-2430M,2  / 4,2.4 GHz,32 nm,3MB,35 W
Core i5-2435M,2  / 4,2.4 GHz,32 nm,3MB,35 W
Core i5-2435M,2  / 4,2.4 GHz,32 nm,3MB,35 W
Core i5-2467M,2  / 4,1600 MHz,32 nm,3MB,17 W
core i5-2410m,2  / 4,2.3 to 2.9 GHz,32 nm,3MB,35 W
Core i5-2557M,2  / 4,1700 MHz,32 nm,3MB,17 W
Core i7-2670QM,4  / 8,2.2 to 3.1 GHz,32 nm,6MB,45 W
Core i7-2675QM,4  / 8,2.2 to 3.1 GHz,32 nm,6MB,45 W
Core i7-2700K,4  / 8,3.5 to 3.9 GHz,32 nm,8MB,95 W
Core i7-2760QM,4  / 8,2.4 to 3.5 GHz,32 nm,6MB,45 W
Core i7-2760QM,4  / 8,2.4 to 3.5 GHz,32 nm,6MB,45 W
Core i7-2860QM,4  / 8,2.5 to 3.6 GHz,32 nm,8MB,45 W
Core i7-2860QM,4  / 8,2.5 to 3.6 GHz,32 nm,8MB,45 W
Core i7-2960XM,4  / 8,2.7 to 3.7 GHz,32 nm,8MB,55 W
Core i7-3930K,6  / 12,3.2 to 3.8 GHz,32 nm,12MB,130 W
Core i7-3960X,6  / 12,3.3 to 3.9 GHz,32 nm,15MB,130 W
Core i7-980,6  / 12,3.333 to 3.6 GHz,32 nm,12MB,130 W
Core i7-990X,6  / 12,3.466 to 3.733 GHz,32 nm,12MB,130 W
Pentium 350,2  / 4,1200 MHz,32 nm,3MB,15 W
Pentium 957,2 ,1200 MHz,32 nm,2MB,17 W
Pentium 967,2 ,1300 MHz,32 nm,2MB,17 W
Pentium B940,2 ,2000 MHz,32 nm,2MB,35 W
Pentium B950,2 ,2.1 GHz,32 nm,2MB,35 W
Pentium B960,2 ,2.2 GHz,32 nm,2MB,35 W
Pentium G620,2 ,2.6 GHz,32 nm,3MB,65 W
Pentium G620T,2 ,2.2 GHz,32 nm,3MB,35 W
Pentium G622,2 ,2.6 GHz,32 nm,3MB,65 W
Pentium G630,2 ,2.7 GHz,32 nm,3MB,65 W
Pentium G630T,2 ,2.3 GHz,32 nm,3MB,35 W
Pentium G632,2 ,2.7 GHz,32 nm,3MB,65 W
Pentium G840,2 ,2.8 GHz,32 nm,3MB,65 W
Pentium G850,2 ,2.9 GHz,32 nm,3MB,65 W
Pentium G860,2 ,3 GHz,32 nm,3MB,65 W
Xeon E3-1220,4 ,3.1 to 3.4 GHz,32 nm,8MB,80 W
Xeon E3-1220L,2  / 4,2.2 to 3.4 GHz,32 nm,3MB,20 W
Xeon E3-1225,4 ,3.1 to 3.4 GHz,32 nm,6MB,95 W
Xeon E3-1230,4  / 8,3.2 to 3.6 GHz,32 nm,8MB,80 W
Xeon E3-1235,4  / 8,3.2 to 3.6 GHz,32 nm,8MB,95 W
Xeon E3-1240,4  / 8,3.3 to 3.7 GHz,32 nm,8MB,80 W
Xeon E3-1245,4  / 8,3.3 to 3.7 GHz,32 nm,8MB,95 W
Xeon E3-1260L,4  / 8,2.4 to 3.3 GHz,32 nm,8MB,45 W
Xeon E3-1270,4  / 8,3.4 to 3.8 GHz,32 nm,8MB,80 W
Xeon E3-1275,4  / 8,3.4 to 3.8 GHz,32 nm,8MB,95 W
Xeon E3-1280,4  / 8,3.5 to 3.9 GHz,32 nm,8MB,95 W
Xeon E3-1290,4  / 8,3.6 to 4 GHz,32 nm,8MB,95 W
Xeon E5603,4 ,1600 MHz,32 nm,4MB,80 W
Xeon E5606,4 ,2.133 GHz,32 nm,8MB,80 W
Xeon E5607,4 ,2.266 GHz,32 nm,8MB,80 W
Xeon E7-8850,10  / 20,2 to 2.4 GHz,32 nm,30MB,130 W
Xeon E7-8860,10  / 20,2.276 to 2.667 GHz,32 nm,30MB,130 W
Xeon E7-8870,10  / 20,2.4 to 2.8 GHz,32 nm,30MB,130 W
Xeon W3690,6  / 12,3.466 to 3.733 GHz,32 nm,12MB,130 W
Xeon X5647,4  / 8,2.933 to 3.2 GHz,32 nm,12MB,130 W
Xeon X5672,4  / 8,3.2 to 3.6 GHz,32 nm,12MB,95 W
Xeon X5687,4  / 8,3.6 to 3.866 GHz,32 nm,12MB,130 W
Atom E3815,1 ,1467 MHz,22 nm,N/A,5 W
Atom E3825,2 ,1333 MHz,22 nm,N/A,6 W
Atom E3826,2 ,1467 MHz,22 nm,N/A,7 W
Atom E3827,2 ,1750 MHz,22 nm,N/A,8 W
Atom E3845,4 ,1910 MHz,22 nm,N/A,10 W
Atom Z3740,4 ,1333 to 1867 MHz,22 nm,N/A,2 W
Atom Z3770,4 ,1.467 to 2.4 GHz,22 nm,N/A,8 W
Celeron 2950M,2 ,2000 MHz,22 nm,2MB,37 W
Celeron 2950M,2 ,2000 MHz,22 nm,2MB,37 W
Celeron 2955U,2 ,1400 MHz,22 nm,2MB,15 W
Celeron 2955U,2 ,1400 MHz,22 nm,2MB,15 W
Celeron 2961Y,2 ,1100 MHz,22 nm,2MB,12 W
Celeron 2980U,2 ,1600 MHz,22 nm,2MB,15 W
Celeron G1620T,2 ,2.4 GHz,22 nm,2MB,35 W
Celeron G1630,2 ,2.8 GHz,22 nm,2MB,55 W
Celeron G1820,2 ,2.7 GHz,22 nm,3MB,54 W
Celeron G1820T,2 ,2.4 GHz,22 nm,3MB,54 W
Celeron G1820TE,2 ,2.2 GHz,22 nm,3MB,54 W
Celeron G1830,2 ,2.8 GHz,22 nm,3MB,54 W
Celeron N2805,2 ,1463 MHz,22 nm,N/A,4 W
Celeron N2806,2 ,1.58 to 2 GHz,22 nm,N/A,4 W
Celeron N2810,2 ,2000 MHz,22 nm,N/A,7 W
Celeron N2820,2 ,2.17 to 2.39 GHz,22 nm,N/A,7 W
Celeron N2910,4 ,1600 MHz,22 nm,N/A,7 W
Celeron N2920,4 ,1.86 to 2 GHz,22 nm,N/A,7 W
Core i3-4000M,2  / 4,2.4 GHz,22 nm,3MB,37 W
Core i3-4005U,2  / 4,1700 MHz,22 nm,3MB,15 W
Core i3-4100E,2  / 4,2.4 GHz,22 nm,3MB,37 W
Core i3-4102E,2  / 4,1600 MHz,22 nm,3MB,25 W
Core i3-4130,2  / 4,3.4 GHz,22 nm,3MB,54 W
Core i3-4130T,2  / 4,2.9 GHz,22 nm,3MB,35 W
Core i3-4330,2  / 4,3.5 GHz,22 nm,4MB,54 W
Core i3-4330T,2  / 4,3 GHz,22 nm,4MB,35 W
Core i3-4340,2  / 4,3.6 GHz,22 nm,4MB,54 W
Core i5-4200Y,2  / 4,1400 to 1900 MHz,22 nm,3MB,12 W
Core i5-4300M,2  / 4,2.6 to 3.6 GHz,22 nm,3MB,37 W
Core i5-4330M,2  / 4,2.8 to 3.8 GHz,22 nm,3MB,37 W
Core i5-4350U,2  / 4,1.4 to 2.9 GHz,22 nm,3MB,15 W
Core i5-4440,4 ,3.1 to 3.3 GHz,22 nm,6MB,84 W
Core i5-4440S,4 ,2.8 to 3.3 GHz,22 nm,6MB,65 W
Core i7-3910K,6  / 12,3 to 3.6 GHz,32 nm,12MB,130 W
Core i7-4500U,2  / 4,1.8 to 3 GHz,22 nm,4MB,15 W
Core i7-4550U,2  / 4,1.5 to 3 GHz,22 nm,4MB,15 W
Core i7-4558U,2  / 4,2.8 to 3.3 GHz,22 nm,4MB,28 W
Core i7-4600M,2  / 4,2.9 to 3.6 GHz,22 nm,4MB,37 W
Core i7-4600U,2  / 4,2.1 to 3.3 GHz,22 nm,4MB,15 W
Core i7-4650U,2  / 4,1.7 to 3.3 GHz,22 nm,4MB,15 W
Core i7-4771,4  / 8,3.5 to 3.9 GHz,22 nm,8MB,84 W
Core i7-4820K,4  / 8,3.7 to 3.9 GHz,22 nm,10MB,130 W
Core i7-4850EQ,4  / 8,1.6 to 3.2 GHz,22 nm,8MB,47 W
Core i7-4860EQ,4  / 8,1.8 to 3.2 GHz,22 nm,8MB,47 W
Core i7-4930K,6  / 12,3.4 to 3.9 GHz,22 nm,12MB,130 W
Core i7-4950HQ,4  / 8,2.4 to 3.6 GHz,22 nm,6MB,47 W
Core i7-4960HQ,4  / 8,2.6 to 3.8 GHz,22 nm,8MB,47 W
Core i7-4960X,6  / 12,3.6 to 4 GHz,22 nm,15MB,130 W
Core i7-4980HQ,4  / 8,2.8 to 4 GHz,22 nm,6MB,47 W
Pentium 3550M,2 ,2.3 GHz,22 nm,2MB,37 W
Pentium 3556U,2 ,1700 MHz,22 nm,2MB,15 W
Pentium 3560Y,2 ,1200 MHz,22 nm,2MB,12 W
Pentium G3220,2 ,3 GHz,22 nm,3MB,54 W
Pentium G3220T,2 ,2.6 GHz,22 nm,3MB,35 W
Pentium G3420,2 ,3.2 GHz,22 nm,3MB,54 W
Pentium G3420T,2 ,2.7 GHz,22 nm,3MB,35 W
Pentium G3430,2 ,3.3 GHz,22 nm,3MB,54 W
Xeon E5-1607 v2,4 ,3 GHz,22 nm,10MB,130 W
Xeon E5-1620 v2,4  / 8,3.7 to 3.9 GHz,22 nm,10MB,130 W
Xeon E5-1650 v2,6  / 12,3.5 to 3.9 GHz,22 nm,12MB,130 W
Xeon E5-1660 v2,6  / 12,3.7 to 4 GHz,22 nm,15MB,130 W
Xeon E5-1680 v2,8  / 16,3 to 3.9 GHz,22 nm,25MB,130 W
Xeon E5-2403 v2,4 ,1800 MHz,22 nm,10MB,80 W
Xeon E5-2407 v2,4 ,2.4 GHz,22 nm,10MB,80 W
Xeon E5-2420 v2,6  / 12,2.2 GHz,22 nm,15MB,80 W
Xeon E5-2430 v2,6  / 12,2.5 GHz,22 nm,15MB,80 W
Xeon E5-2440 v2,8  / 16,1900 MHz,22 nm,20MB,95 W
Xeon E5-2450 v2,8  / 16,2.5 GHz,22 nm,20MB,95 W
Xeon E5-2470 v2,10  / 20,2.4 GHz,22 nm,25MB,95 W
Xeon E5-2603 v2,4 ,1800 MHz,22 nm,10MB,80 W
Xeon E5-2609 v2,4 ,2.5 GHz,22 nm,10MB,80 W
Xeon E5-2620 v2,6  / 12,2.1 GHz,22 nm,15MB,80 W
Xeon E5-2630 v2,6  / 12,2.6 GHz,22 nm,15MB,80 W
Xeon E5-2630L v2,6  / 12,2.4 GHz,22 nm,15MB,60 W
Xeon E5-2637 v2,4  / 8,3.5 GHz,22 nm,10MB,130 W
Xeon E5-2640 v2,8  / 16,2000 MHz,22 nm,20MB,95 W
Xeon E5-2643 v2,6  / 12,3.5 GHz,22 nm,15MB,130 W
Xeon E5-2650 v2,8  / 16,2.6 to 3.4 GHz,22 nm,20MB,95 W
Xeon E5-2650L v2,10  / 20,1700 MHz,22 nm,25MB,70 W
Xeon E5-2660 v2,10  / 20,2.2 to 3 GHz,22 nm,25MB,95 W
Xeon E5-2667 v2,8  / 16,3.3 GHz,22 nm,20MB,130 W
Xeon E5-2670 v2,10  / 20,2.5 to 3.3 GHz,22 nm,25MB,115 W
Xeon E5-2680 v2,10  / 20,2.8 to 3.6 GHz,22 nm,25MB,115 W
Xeon E5-2687W v2,8  / 16,3.4 to 4 GHz,22 nm,20MB,130 W
Xeon E5-2690 v2,10  / 20,3 to 3.8 GHz,22 nm,25MB,130 W
Xeon E5-2692 v2,12  / 24,2.2 to 3 GHz,22 nm,30MB,100 W
Xeon E5-2695 v2,12  / 24,2.4 to 3.2 GHz,22 nm,30MB,115 W
Xeon E5-2697 v2,12  / 24,2.7 to 3.5 GHz,22 nm,30MB,130 W
Xeon Phi 3120A,57  / 228,1100 MHz,22 nm,N/A,300 W
Xeon Phi 3120P,57  / 228,1100 MHz,22 nm,N/A,300 W
Xeon Phi 31S1P,57  / 228,1100 MHz,22 nm,N/A,270 W
Xeon Phi 5120D,60  / 240,1053 MHz,22 nm,N/A,245 W
Xeon Phi 7120P,61  / 244,1238 to 1333 MHz,22 nm,N/A,300 W
Xeon Phi 7120X,61  / 244,1238 to 1333 MHz,22 nm,N/A,300 W
Atom x3-3205RK,4 ,1200 MHz,28 nm,N/A,2 W
Celeron 3205U,2 ,1500 MHz,14 nm,2MB,15 W
Celeron 3755U,2 ,1700 MHz,14 nm,2MB,15 W
Celeron G3900,2 ,2.8 GHz,14 nm,4MB,51 W
Celeron G3920,2 ,2.9 GHz,14 nm,4MB,51 W
Core i3-5005U,2  / 4,2000 MHz,14 nm,3MB,15 W
Core i3-5010U,2  / 4,2.1 GHz,14 nm,3MB,15 W
Core i3-5015U,2  / 4,2.1 GHz,14 nm,3MB,15 W
Core i3-5020U,2  / 4,2.2 GHz,14 nm,3MB,15 W
Core i3-5157U,2  / 4,2.5 GHz,14 nm,3MB,28 W
Core i3-6100,2  / 4,3.7 GHz,14 nm,4MB,51 W
Core i3-6300,2  / 4,3.8 GHz,14 nm,4MB,51 W
Core i3-6320,2  / 4,3.9 GHz,14 nm,4MB,51 W
Core i5-5200U,2  / 4,2.2 to 2.7 GHz,14 nm,3MB,15 W
Core i5-5250U,2  / 4,1.6 to 2.7 GHz,14 nm,3MB,15 W
Core i5-5257U,2  / 4,2.7 to 3.1 GHz,14 nm,3MB,28 W
Core i5-5287U,2  / 4,2.9 to 3.3 GHz,14 nm,3MB,28 W
Core i5-5300U,2  / 4,2.3 to 2.9 GHz,14 nm,3MB,15 W
Core i5-5350H,2  / 4,3.1 to 3.5 GHz,14 nm,4MB,47 W
Core i5-5350U,2  / 4,1.8 to 2.9 GHz,14 nm,3MB,15 W
Core i5-5575R,4 ,2.8 to 3.3 GHz,14 nm,4MB,65 W
Core i5-5675C,4 ,3.1 to 3.6 GHz,14 nm,4MB,65 W
Core i5-5675R,4 ,3.1 to 3.6 GHz,14 nm,4MB,65 W
Core i5-6400,4 ,2.7 to 3.3 GHz,14 nm,6MB,65 W
Core i5-6500,4 ,3.2 to 3.6 GHz,14 nm,6MB,65 W
Core i5-6600,4 ,3.3 to 3.9 GHz,14 nm,6MB,65 W
Core i5-6600K,4 ,3.5 to 3.9 GHz,14 nm,6MB,95 W
Core i7-5500U,2  / 4,2.4 to 3 GHz,14 nm,4MB,15 W
Core i7-5550U,2  / 4,2 to 3 GHz,14 nm,4MB,15 W
Core i7-5557U,2  / 4,3.1 to 3.4 GHz,14 nm,4MB,28 W
Core i7-5600U,2  / 4,2.6 to 3.2 GHz,14 nm,4MB,15 W
Core i7-5650U,2  / 4,2.2 to 3.2 GHz,14 nm,4MB,15 W
Core i7-5700HQ,4  / 8,2.7 to 3.5 GHz,14 nm,6MB,47 W
Core i7-5750HQ,4  / 8,2.5 to 3.4 GHz,14 nm,6MB,47 W
Core i7-5775C,4  / 8,3.3 to 3.7 GHz,14 nm,6MB,65 W
Core i7-5775R,4  / 8,3.3 to 3.8 GHz,14 nm,6MB,65 W
Core i7-5850HQ,4  / 8,2.7 to 3.6 GHz,14 nm,6MB,47 W
Core i7-5950HQ,4  / 8,2.9 to 3.8 GHz,14 nm,6MB,47 W
Core i7-6700,4  / 8,3.4 to 4 GHz,14 nm,8MB,65 W
Core i7-6700K,4  / 8,4 to 4.2 GHz,14 nm,8MB,95 W
Core i7-6700T,4  / 8,2.8 to 3.6 GHz,14 nm,8MB,35 W
Core i7-6700TE,4  / 8,2.4 to 3.4 GHz,14 nm,8MB,35 W
core i7-6700hq,4  / 8,2.6 to 3.5 GHz,14 nm,6MB,45 W
Pentium 3805U,2 ,1900 MHz,14 nm,2MB,15 W
Pentium 3825U,2  / 4,1900 MHz,14 nm,2MB,15 W
Pentium G4400,2 ,3.3 GHz,14 nm,4MB,51 W
Pentium G4500,2 ,3.5 GHz,14 nm,4MB,51 W
Pentium G4520,2 ,3.6 GHz,14 nm,4MB,51 W
Xeon D-1518,4  / 8,2.2 GHz,14 nm,1.5MB,35 W
Xeon D-1520,4  / 8,2.2 to 2.6 GHz,14 nm,1.5MB,45 W
Xeon D-1521,4  / 8,2.4 to 2.7 GHz,14 nm,1.5MB,45 W
Xeon D-1527,4  / 8,2.2 to 2.7 GHz,14 nm,1.5MB,35 W
Xeon D-1528,6  / 12,1.9 to 2.5 GHz,14 nm,1.5MB,35 W
Xeon D-1531,6  / 12,2.2 to 2.7 GHz,14 nm,1.5MB,35 W
Xeon D-1537,8  / 16,1.7 to 2.3 GHz,14 nm,1.5MB,35 W
Xeon D-1540,8  / 16,2 to 2.6 GHz,14 nm,1.5MB,45 W
Xeon D-1541,8  / 16,2.1 to 2.7 GHz,14 nm,1.5MB,45 W
Xeon D-1548,8  / 16,2 to 2.6 GHz,14 nm,1.5MB,45 W
Xeon E3-1258L v4,4  / 8,1.8 to 3.2 GHz,14 nm,6MB,47 W
Xeon E3-1265L v4,4  / 8,2.3 to 3.3 GHz,14 nm,6MB,35 W
Xeon E3-1270L v4,4  / 8,3 to 3.6 GHz,14 nm,6MB,45 W
Xeon E3-1278L v4,4  / 8,2 to 3.3 GHz,14 nm,6MB,47 W
Xeon E3-1280 v5,4  / 8,3.7 to 4 GHz,14 nm,8MB,80 W
Xeon E3-1283L v4,4  / 8,2.9 to 3.8 GHz,14 nm,6MB,47 W
Xeon E3-1284L v4,4  / 8,2.9 to 3.8 GHz,14 nm,6MB,47 W
Xeon E3-1285 v4,4  / 8,3.5 to 3.8 GHz,14 nm,6MB,95 W
Xeon E3-1285L v4,4  / 8,3.4 to 3.8 GHz,14 nm,6MB,65 W
Xeon E5-2658A V3,12  / 24,2.2 to 2.9 GHz,22 nm,30MB,105 W
Xeon E5-2669 V3,12  / 24,2.3 to 3.1 GHz,22 nm,30MB,120 W
Xeon E5-2676 V3,12  / 24,2.4 to 3 GHz,22 nm,30MB,120 W
Xeon E5-2678 V3,12  / 24,2.5 to 3.3 GHz,22 nm,30MB,120 W
Xeon E5-2698B V3,16  / 32,2 to 3.4 GHz,22 nm,40MB,135 W
Xeon E5-4610 V3,10  / 20,1700 MHz,22 nm,25MB,105 W
Xeon E5-4620 V3,10  / 20,2 to 2.6 GHz,22 nm,25MB,105 W
Xeon E5-4627 V3,10  / 20,2.6 to 3.2 GHz,22 nm,25MB,135 W
